SKILLNAME	ICON	ACTIVITY_TYPE
class_bountyhunter_phase2_04	/Styles.Icon.command.bh_sh	
class_bountyhunter_phase2_05	/Styles.Icon.command.bh_del_cc	
class_bountyhunter_phase2_master	/Styles.Icon.command.bh_dm	
class_bountyhunter_phase3_novice	/Styles.Icon.command.bh_ae_dm	
class_bountyhunter_phase3_02	/Styles.Icon.command.bh_del_dm_cc_dot	
class_bountyhunter_phase3_03	/Styles.Icon.command.bh_dm	
class_bountyhunter_phase3_04	/Styles.Icon.command.bh_sh	
class_bountyhunter_phase3_05	/Styles.Icon.command.bh_del_cc	
class_bountyhunter_phase3_master	/Styles.Icon.command.bh_dm	
class_bountyhunter_phase4_novice	/Styles.Icon.command.bh_del_dm_cc_dot	
class_bountyhunter_phase4_02	/Styles.Icon.command.bh_ae_dm	
class_bountyhunter_phase4_03	/Styles.Icon.command.bh_dm	
class_bountyhunter_phase4_04	/Styles.Icon.command.bh_sh	
class_bountyhunter_phase4_05	/Styles.Icon.command.bh_del_cc	
class_bountyhunter_phase4_master	/Styles.Icon.command.bh_del_dm_cc_dot	
class_smuggler_phase1_novice	/Styles.Icon.command.sm_dm	
class_smuggler_phase1_02	/Styles.Icon.command.sm_dm_cc	
class_smuggler_phase1_03	/Styles.Icon.command.sm_ae_dm_cc	
class_smuggler_phase1_04	/Styles.Icon.command.sm_dm	
class_smuggler_phase1_05	/Styles.Icon.command.sm_dm_cc	
class_smuggler_phase1_master	/Styles.Icon.command.sm_ae_dm_cc	
class_smuggler_phase2_novice	/Styles.Icon.command.sm_dm	
class_smuggler_phase2_02	/Styles.Icon.command.sm_dm_cc	
class_smuggler_phase2_03	/Styles.Icon.command.sm_ae_dm_cc	
class_smuggler_phase2_04	/Styles.Icon.command.sm_sh	
class_smuggler_phase2_05	/Styles.Icon.command.sm_del_dm_cc	
class_smuggler_phase2_master	/Styles.Icon.command.sm_dm	
class_smuggler_phase3_novice	/Styles.Icon.command.sm_dm_dot	
class_smuggler_phase3_02	/Styles.Icon.command.sm_ae_dm	
class_smuggler_phase3_03	/Styles.Icon.command.sm_dm	
class_smuggler_phase3_04	/Styles.Icon.command.sm_sh	
class_smuggler_phase3_05	/Styles.Icon.command.sm_del_dm_cc	
class_smuggler_phase3_master	/Styles.Icon.command.sm_dm	
class_smuggler_phase4_novice	/Styles.Icon.command.sm_dm_dot	
class_smuggler_phase4_02	/Styles.Icon.command.sm_ae_dm	
class_smuggler_phase4_03	/Styles.Icon.command.sm_dm	
class_smuggler_phase4_04	/Styles.Icon.command.sm_sh	
class_smuggler_phase4_05	/Styles.Icon.command.sm_del_dm_cc	
class_smuggler_phase4_master	/Styles.Icon.command.sm_ae_dm	
class_commando_phase1_novice	/Styles.Icon.command.co_dm	
class_commando_phase1_02	/Styles.Icon.command.co_del_ae_cc_1	
class_commando_phase1_03	/Styles.Icon.command.co_ae_dm	
class_commando_phase1_04	/Styles.Icon.command.co_dm	
class_commando_phase1_05	/Styles.Icon.command.co_del_ae_cc_1	
class_commando_phase1_master	/Styles.Icon.command.co_ae_dm	
class_commando_phase2_novice	/Styles.Icon.command.co_dm	
class_commando_phase2_02	/Styles.Icon.command.co_del_ae_cc_1	
class_commando_phase2_03	/Styles.Icon.command.co_ae_dm	
class_commando_phase2_04	/Styles.Icon.command.co_sh	
class_commando_phase2_05	/Styles.Icon.command.co_del_ae_dm	
class_commando_phase2_master	/Styles.Icon.command.co_dm	
class_commando_phase3_novice	/Styles.Icon.command.co_fld_dm	
class_commando_phase3_02	/Styles.Icon.command.co_del_ae_cc_2	
class_commando_phase3_03	/Styles.Icon.command.co_dm	
class_commando_phase3_04	/Styles.Icon.command.co_sh	
class_commando_phase3_05	/Styles.Icon.command.co_del_ae_dm	
class_commando_phase3_master	/Styles.Icon.command.co_dm	
class_commando_phase4_novice	/Styles.Icon.command.co_fld_dm	
class_commando_phase4_02	/Styles.Icon.command.co_del_ae_cc_2	
class_commando_phase4_03	/Styles.Icon.command.co_dm	
class_commando_phase4_04	/Styles.Icon.command.co_sh	
class_commando_phase4_05	/Styles.Icon.command.co_del_ae_dm	
class_commando_phase4_master	/Styles.Icon.command.co_dm	
class_officer_phase1_novice	/Styles.Icon.command.of_dm	
class_officer_phase1_02	/Styles.Icon.command.of_deb_def	
class_officer_phase1_03	/Styles.Icon.command.of_buff_def	
class_officer_phase1_04	/Styles.Icon.command.of_dm	
class_officer_phase1_05	/Styles.Icon.command.of_deb_def	
class_officer_phase1_master	/Styles.Icon.command.of_buff_def	
class_officer_phase2_novice	/Styles.Icon.command.of_dm	
class_officer_phase2_02	/Styles.Icon.command.of_buff_def	
class_officer_phase2_03	/Styles.Icon.command.of_deb_def	
class_officer_phase2_04	/Styles.Icon.command.of_sh	
class_officer_phase2_05	/Styles.Icon.command.of_del_ae_dm_dot	
class_officer_phase2_master	/Styles.Icon.command.of_dm	
class_officer_phase3_novice	/Styles.Icon.command.of_del_ae_dm	
class_officer_phase3_02	/Styles.Icon.command.of_del_ae_dot	
class_officer_phase3_03	/Styles.Icon.command.of_dm	
class_officer_phase3_04	/Styles.Icon.command.of_sh	
class_officer_phase3_05	/Styles.Icon.command.of_del_ae_dm_dot	
class_officer_phase3_master	/Styles.Icon.command.of_dm	
class_officer_phase4_novice	/Styles.Icon.command.of_del_ae_dm	
class_officer_phase4_02	/Styles.Icon.command.of_del_ae_dm_dot	
class_officer_phase4_03	/Styles.Icon.command.of_dm	
class_officer_phase4_04	/Styles.Icon.command.of_sh	
class_officer_phase4_05	/Styles.Icon.command.of_del_ae_dm	
class_officer_phase4_master	/Styles.Icon.command.of_dm	
class_spy_phase1_novice	/Styles.Icon.command.sp_dm	
class_spy_phase1_02	/Styles.Icon.command.sp_buff_stealth	
class_spy_phase1_03	/Styles.Icon.command.sp_buff_invis	
class_spy_phase1_04	/Styles.Icon.command.sp_dm	
class_spy_phase1_05	/Styles.Icon.command.incognito	
class_spy_phase1_master	/Styles.Icon.command.me_rv_combat	
class_spy_phase2_novice	/Styles.Icon.command.sp_dm	
class_spy_phase2_02	/Styles.Icon.command.sp_buff_invis	
class_spy_phase2_03	/Styles.Icon.command.sp_decoy	
class_spy_phase2_04	/Styles.Icon.command.sp_sh	
class_spy_phase2_05	/Styles.Icon.command.sp_fldmot	
class_spy_phase2_master	/Styles.Icon.command.sp_dm	
class_spy_phase3_novice	/Styles.Icon.command.sp_dot	
class_spy_phase3_02	/Styles.Icon.command.sp_fldmot	
class_spy_phase3_03	/Styles.Icon.command.sp_dm	
class_spy_phase3_04	/Styles.Icon.command.sp_sh	
class_spy_phase3_05	/Styles.Icon.command.sp_fld_debuff_ca	
class_spy_phase3_master	/Styles.Icon.command.sp_dm	
class_spy_phase4_novice	/Styles.Icon.command.sp_cc_dot	
class_spy_phase4_02	/Styles.Icon.command.sp_fldmot	
class_spy_phase4_03	/Styles.Icon.command.sp_dm	
class_spy_phase4_04	/Styles.Icon.command.sp_sh	
class_spy_phase4_05	/Styles.Icon.command.sp_buff_stealth	
class_spy_phase4_master	/Styles.Icon.command.sp_dm	
class_medic_phase1_novice	/Styles.Icon.command.me_ae_heal	
class_medic_phase1_02	/Styles.Icon.command.me_dm	
class_medic_phase1_03	/Styles.Icon.command.me_dm_dot	
class_medic_phase1_04	/Styles.Icon.command.me_ae_heal	
class_medic_phase1_05	/Styles.Icon.command.me_dm	
class_medic_phase1_master	/Styles.Icon.command.me_dm	
class_medic_phase2_novice	/Styles.Icon.command.me_dm_dot	
class_medic_phase2_02	/Styles.Icon.command.me_dm_dot	
class_medic_phase2_03	/Styles.Icon.command.me_ae_heal	
class_medic_phase2_04	/Styles.Icon.command.me_hot	
class_medic_phase2_05	/Styles.Icon.command.me_fld_dm_dot	
class_medic_phase2_master	/Styles.Icon.command.me_dm	
class_medic_phase3_novice	/Styles.Icon.command.me_buff_health	
class_medic_phase3_02	/Styles.Icon.command.me_fld_dm_dot	
class_medic_phase3_03	/Styles.Icon.command.me_dm	
class_medic_phase3_04	/Styles.Icon.command.me_ae_heal	
class_medic_phase3_05	/Styles.Icon.command.me_hot	
class_medic_phase3_master	/Styles.Icon.command.me_dm	
class_medic_phase4_novice	/Styles.Icon.command.me_hot	
class_medic_phase4_02	/Styles.Icon.command.me_fld_dm_dot	
class_medic_phase4_03	/Styles.Icon.command.me_ae_heal	
class_medic_phase4_04	/Styles.Icon.command.me_sh	
class_medic_phase4_05	/Styles.Icon.command.me_dm	
class_medic_phase4_master	/Styles.Icon.command.me_ae_heal	
class_entertainer_phase1_novice	/Styles.icon.music.rock	
class_entertainer_phase1_02	/Styles.icon.music.basic	
class_entertainer_phase1_03	/Styles.Icon.music.starwars2	
class_entertainer_phase1_04	/Styles.icon.music.rhythmic	
class_entertainer_phase1_05	/Styles.icon.music.folk	
class_entertainer_phase1_master	/Styles.icon.music.footloose	
class_entertainer_phase2_novice	/Styles.icon.music.starwars3	
class_entertainer_phase2_02	/Styles.icon.music.formal	
class_entertainer_phase2_03	/Styles.icon.music.ceremonial	
class_entertainer_phase2_04	/Styles.icon.music.poplock	
class_entertainer_phase2_05	/Styles.icon.music.starwars4	
class_entertainer_phase2_master	/Styles.icon.music.popular	
class_entertainer_phase3_novice	/Styles.icon.music.ballad	
class_entertainer_phase3_02	/Styles.icon.music.bunduki	
class_entertainer_phase3_03	/Styles.icon.music.swing	
class_entertainer_phase3_04	/Styles.icon.music.tumble	
class_entertainer_phase3_05	/Styles.icon.music.funk	
class_entertainer_phase3_master	/Styles.icon.music.lyrical	
class_entertainer_phase4_novice	/Styles.icon.music.waltz	
class_entertainer_phase4_02	/Styles.icon.music.breakdance	
class_entertainer_phase4_03	/Styles.icon.music.jazz	
class_entertainer_phase4_04	/Styles.icon.music.exotic	
class_entertainer_phase4_05	/Styles.icon.music.virtuoso	
class_entertainer_phase4_master	/Styles.Icon.command.featuredSolo	
combat_1hsword_prereq_novice	/Styles.Icon.command.meleeStrike	1hsword
combat_1hsword_prereq_master	/Styles.Icon.command.legSweep	1hsword
combat_1hsword_prereq_01	/Styles.Icon.command.taunt	1hsword
combat_1hsword_prereq_02	/Styles.Icon.command.lunge	1hsword
combat_1hsword_prereq_03	/Styles.Icon.command.bleedAttack	1hsword
combat_1hsword_prereq_04	/Styles.Icon.command.centerOfBeing	1hsword
combat_1hsword_ability_01	/Styles.Icon.command.blindAttack	1hsword
combat_1hsword_ability_02	/Styles.Icon.command.blindRecovery	1hsword
combat_1hsword_ability_03	/Styles.Icon.command.blindAttack	1hsword
combat_1hsword_ability_04	/Styles.Icon.command.bodyHit	1hsword
combat_1hsword_accuracy_01	/Styles.Icon.command.scatterHit	1hsword
combat_1hsword_accuracy_02	/Styles.Icon.command.attack	1hsword
combat_1hsword_accuracy_03	/Styles.Icon.command.scatterHit	1hsword
combat_1hsword_accuracy_04	/Styles.Icon.command.stunRecovery	1hsword
combat_1hsword_master	/Styles.Icon.command.blindAttack	1hsword
combat_1hsword_novice	/Styles.Icon.command.bodyHit	1hsword
combat_1hsword_speed_01	/Styles.Icon.command.lunge	1hsword
combat_1hsword_speed_02	/Styles.Icon.command.crippleAttack	1hsword
combat_1hsword_speed_03	/Styles.Icon.command.dizzyRecovery	1hsword
combat_1hsword_speed_04	/Styles.Icon.command.crippleAttack	1hsword
combat_1hsword_support_01	/Styles.Icon.command.bleedAttack	1hsword
combat_1hsword_support_02	/Styles.Icon.command.bindingstrike	1hsword
combat_1hsword_support_03	/Styles.Icon.command.bleedAttack	1hsword
combat_1hsword_support_04	/Styles.Icon.command.bindingstrike	1hsword
combat_2hsword_prereq_novice	/Styles.Icon.command.meleeStrike	2hsword
combat_2hsword_prereq_master	/Styles.Icon.command.armorBreak	2hsword
combat_2hsword_prereq_01	/Styles.Icon.command.taunt	2hsword
combat_2hsword_prereq_02	/Styles.Icon.command.lunge	2hsword
combat_2hsword_prereq_03	/Styles.Icon.command.meleeAssault	2hsword
combat_2hsword_prereq_04	/Styles.Icon.command.centerOfBeing	2hsword
combat_2hsword_ability_01	/Styles.Icon.command.armorBreak	2hsword
combat_2hsword_ability_02	/Styles.Icon.command.swordFlurry	2hsword
combat_2hsword_ability_03	/Styles.Icon.command.armorBreak	2hsword
combat_2hsword_ability_04	/Styles.Icon.command.stunRecovery	2hsword
combat_2hsword_accuracy_01	/Styles.Icon.command.powerAttack	2hsword
combat_2hsword_accuracy_02	/Styles.Icon.command.berserk	2hsword
combat_2hsword_accuracy_03	/Styles.Icon.command.attack	2hsword
combat_2hsword_accuracy_04	/Styles.Icon.command.powerAttack	2hsword
combat_2hsword_master	/Styles.Icon.command.swordFlurry	2hsword
combat_2hsword_novice	/Styles.Icon.command.headHit	2hsword
combat_2hsword_speed_01	/Styles.Icon.command.areaTaunt	2hsword
combat_2hsword_speed_02	/Styles.Icon.command.blindRecovery	2hsword
combat_2hsword_speed_03	/Styles.Icon.command.areaTaunt	2hsword
combat_2hsword_speed_04	/Styles.Icon.command.headHit	2hsword
combat_2hsword_support_01	/Styles.Icon.command.criticalStrike	2hsword
combat_2hsword_support_02	/Styles.Icon.command.attack	2hsword
combat_2hsword_support_03	/Styles.Icon.command.dizzyRecovery	2hsword
combat_2hsword_support_04	/Styles.Icon.command.criticalStrike	2hsword
combat_bountyhunter_prereq_novice	/Styles.Icon.command.placedShot	combat
combat_bountyhunter_prereq_master	/Styles.Icon.command.duelistStance	combat
combat_bountyhunter_prereq_01	/Styles.Icon.command.ambush	combat
combat_bountyhunter_prereq_02	/Styles.Icon.command.crippleShot	combat
combat_bountyhunter_prereq_03	/Styles.Icon.command.assault	combat
combat_bountyhunter_prereq_04	/Styles.Icon.command.ambush	combat
combat_bountyhunter_droidcontrol_01	/Styles.Icon.command.criticalShot	combat
combat_bountyhunter_droidcontrol_02	/Styles.Icon.command.sprayShot	combat
combat_bountyhunter_droidcontrol_03	/Styles.Icon.command.criticalShot	combat
combat_bountyhunter_droidcontrol_04	/Styles.Icon.command.sprayShot	combat
combat_bountyhunter_droidresponse_01	/Styles.Icon.command.underHandShot	combat
combat_bountyhunter_droidresponse_02	/Styles.Icon.command.confusionShot	combat
combat_bountyhunter_droidresponse_03	/Styles.Icon.command.underHandShot	combat
combat_bountyhunter_droidresponse_04	/Styles.Icon.command.confusionShot	combat
combat_bountyhunter_investigation_01	/Styles.Icon.command.duelistStance	combat
combat_bountyhunter_investigation_02	/Styles.Icon.Roadmap.bounty_hunter	combat
combat_bountyhunter_investigation_03	/Styles.Icon.command.detonateDroid	combat
combat_bountyhunter_investigation_04	/Styles.Icon.command.duelistStance	combat
combat_bountyhunter_master	/Styles.Icon.command.criticalShot	combat
combat_bountyhunter_novice	/Styles.Icon.command.sniperShot	combat
combat_bountyhunter_support_01	/Styles.Icon.command.eyeShot	combat
combat_bountyhunter_support_02	/Styles.Icon.command.centerOfBeing	combat
combat_bountyhunter_support_03	/Styles.Icon.command.torsoShot	combat
combat_bountyhunter_support_04	/Styles.Icon.command.eyeShot	combat
combat_brawler_1handmelee_01	/Styles.Icon.command.lunge	1hsword
combat_brawler_1handmelee_02	/Styles.Icon.command.centerOfBeing	1hsword
combat_brawler_1handmelee_03	/Styles.Icon.command.meleeStrike	1hsword
combat_brawler_1handmelee_04	/Styles.Icon.command.bleedAttack	1hsword
combat_brawler_2handmelee_01	/Styles.Icon.command.meleeStrike	1hsword
combat_brawler_2handmelee_02	/Styles.Icon.command.lunge	1hsword
combat_brawler_2handmelee_03	/Styles.Icon.command.centerOfBeing	1hsword
combat_brawler_2handmelee_04	/Styles.Icon.command.armorBreak	1hsword
combat_brawler_master	/Styles.Icon.command.meleeAssault	combat
combat_brawler_novice	/Styles.Icon.command.taunt	combat
combat_brawler_polearm_01	/Styles.Icon.command.centerOfBeing	polearm
combat_brawler_polearm_02	/Styles.Icon.command.meleeStrike	polearm
combat_brawler_polearm_03	/Styles.Icon.command.lunge	polearm
combat_brawler_polearm_04	/Styles.Icon.command.sweepAttack	polearm
combat_brawler_unarmed_01	/Styles.Icon.command.centerOfBeing	unarmed
combat_brawler_unarmed_02	/Styles.Icon.command.meleeStrike	unarmed
combat_brawler_unarmed_03	/Styles.Icon.command.lunge	unarmed
combat_brawler_unarmed_04	/Styles.Icon.command.legSweep	unarmed
combat_carbine_prereq_novice	/Styles.Icon.command.placedShot	carbine
combat_carbine_prereq_master	/Styles.Icon.command.rapidFire	carbine
combat_carbine_prereq_01	/Styles.Icon.command.firearmStrike	carbine
combat_carbine_prereq_02	/Styles.Icon.command.aimedShot	carbine
combat_carbine_prereq_03	/Styles.Icon.command.kipUpShot	carbine
combat_carbine_prereq_04	/Styles.Icon.command.overchargeShot	carbine
combat_carbine_ability_01	/Styles.Icon.command.chargeShot	carbine
combat_carbine_ability_02	/Styles.Icon.command.suppressionFire	carbine
combat_carbine_ability_03	/Styles.Icon.command.chargeShot	carbine
combat_carbine_ability_04	/Styles.Icon.command.suppressionFire	carbine
combat_carbine_accuracy_01	/Styles.Icon.command.scatterShot	carbine
combat_carbine_accuracy_02	/Styles.Icon.command.fullAutoArea	carbine
combat_carbine_accuracy_03	/Styles.Icon.command.scatterShot	carbine
combat_carbine_accuracy_04	/Styles.Icon.command.fullAutoArea	carbine
combat_carbine_master	/Styles.Icon.command.rapidFire	carbine
combat_carbine_novice	/Styles.Icon.command.legShot	carbine
combat_carbine_speed_01	/Styles.Icon.command.cripplingShot	carbine
combat_carbine_speed_02	/Styles.Icon.command.rapidFire	carbine
combat_carbine_speed_03	/Styles.Icon.command.legShot	carbine
combat_carbine_speed_04	/Styles.Icon.command.cripplingShot	carbine
combat_carbine_support_01	/Styles.Icon.command.blindRecovery	carbine
combat_carbine_support_02	/Styles.Icon.command.consider	carbine
combat_carbine_support_03	/Styles.Icon.command.dizzyRecovery	carbine
combat_carbine_support_04	/Styles.Icon.command.stunRecovery	carbine
combat_commando_prereq_novice	/Styles.Icon.command.demolition	combat
combat_commando_prereq_01	/Styles.Icon.command.stunGrenade	combat
combat_commando_prereq_02	/Styles.Icon.command.barrage	combat
combat_commando_prereq_03	/Styles.Icon.command.demolition	combat
combat_commando_prereq_04	/Styles.Icon.command.barrage	combat
combat_commando_prereq_master	/Styles.Icon.command.stunGrenade	combat
combat_commando_heavyweapon_accuracy_01	/Styles.Icon.command.aim	combat
combat_commando_heavyweapon_accuracy_02	/Styles.Icon.command.aim	combat
combat_commando_heavyweapon_accuracy_03	/Styles.Icon.command.aim	combat
combat_commando_heavyweapon_accuracy_04	/Styles.Icon.command.aim	combat
combat_commando_heavyweapon_speed_01	/Styles.Icon.command.aimedshot	combat
combat_commando_heavyweapon_speed_02	/Styles.Icon.command.aimedshot	combat
combat_commando_heavyweapon_speed_03	/Styles.Icon.command.aimedshot	combat
combat_commando_heavyweapon_speed_04	/Styles.Icon.command.aimedshot	combat
combat_commando_master	/Styles.Icon.command.bodyHit	combat
combat_commando_novice	/Styles.Icon.command.torsoShot	combat
combat_commando_support_01	/Styles.Icon.command.restrainingshot	combat
combat_commando_support_02	/Styles.Icon.command.restrainingshot	combat
combat_commando_support_03	/Styles.Icon.command.restrainingshot	combat
combat_commando_support_04	/Styles.Icon.command.restrainingshot	combat
combat_commando_thrownweapon_01	/Styles.Icon.command.throwGrenade	combat
combat_commando_thrownweapon_02	/Styles.Icon.command.throwGrenade	combat
combat_commando_thrownweapon_03	/Styles.Icon.command.throwGrenade	combat
combat_commando_thrownweapon_04	/Styles.Icon.command.throwGrenade	combat
combat_marksman_carbine_01	/Styles.Icon.command.placedShot	carbine
combat_marksman_carbine_02	/Styles.Icon.command.firearmstrike	carbine
combat_marksman_carbine_03	/Styles.Icon.command.aimedshot	carbine
combat_marksman_carbine_04	/Styles.Icon.command.rapidFire	carbine
combat_marksman_master	/Styles.Icon.command.lethalShot	combat
combat_marksman_novice	/Styles.Icon.command.knockdownRecovery	pistol
combat_marksman_pistol_01	/Styles.Icon.command.firearmstrike	pistol
combat_marksman_pistol_02	/Styles.Icon.command.aimedshot	pistol
combat_marksman_pistol_03	/Styles.Icon.command.placedShot	pistol
combat_marksman_pistol_04	/Styles.Icon.command.quickDraw	pistol
combat_marksman_rifle_01	/Styles.Icon.command.aimedshot	rifle
combat_marksman_rifle_02	/Styles.Icon.command.placedShot	rifle
combat_marksman_rifle_03	/Styles.Icon.command.firearmstrike	rifle
combat_marksman_rifle_04	/Styles.Icon.command.aim	rifle
combat_marksman_support_01	/Styles.Icon.command.rollShot	combat
combat_marksman_support_02	/Styles.Icon.command.diveShot	combat
combat_marksman_support_03	/Styles.Icon.command.kipUpShot	combat
combat_marksman_support_04	/Styles.Icon.command.overchargeShot	combat
combat_pistol_prereq_novice	/Styles.Icon.command.placedShot	pistol
combat_pistol_prereq_master	/Styles.Icon.command.quickDraw	pistol
combat_pistol_prereq_01	/Styles.Icon.command.firearmStrike	pistol
combat_pistol_prereq_02	/Styles.Icon.command.aimedShot	pistol
combat_pistol_prereq_03	/Styles.Icon.command.kipUpShot	pistol
combat_pistol_prereq_04	/Styles.Icon.command.overchargeShot	pistol
combat_pistol_ability_01	/Styles.Icon.command.quickDraw	pistol
combat_pistol_ability_02	/Styles.Icon.command.dizzyRecovery	pistol
combat_pistol_ability_03	/Styles.Icon.command.intimidateShot	pistol
combat_pistol_ability_04	/Styles.Icon.command.stunRecovery	pistol
combat_pistol_accuracy_01	/Styles.Icon.command.firearmstrike	pistol
combat_pistol_accuracy_02	/Styles.Icon.command.warningShot	pistol
combat_pistol_accuracy_03	/Styles.Icon.command.firearmstrike	pistol
combat_pistol_accuracy_04	/Styles.Icon.command.bodyShot	pistol
combat_pistol_master	/Styles.Icon.command.quickDraw	pistol
combat_pistol_novice	/Styles.Icon.command.bodyShot	pistol
combat_pistol_speed_01	/Styles.Icon.command.burstShot	pistol
combat_pistol_speed_02	/Styles.Icon.command.disarmingShot	pistol
combat_pistol_speed_03	/Styles.Icon.command.burstShot	pistol
combat_pistol_speed_04	/Styles.Icon.command.disarmingShot	pistol
combat_pistol_support_01	/Styles.Icon.command.stoppingShot	pistol
combat_pistol_support_02	/Styles.Icon.command.fanshot	pistol
combat_pistol_support_03	/Styles.Icon.command.stoppingShot	pistol
combat_pistol_support_04	/Styles.Icon.command.fanshot	pistol
combat_polearm_prereq_novice	/Styles.Icon.command.meleeStrike	polearm
combat_polearm_prereq_master	/Styles.Icon.command.armorBreak	polearm
combat_polearm_prereq_01	/Styles.Icon.command.taunt	polearm
combat_polearm_prereq_02	/Styles.Icon.command.centerOfBeing	polearm
combat_polearm_prereq_03	/Styles.Icon.command.sweepAttack	polearm
combat_polearm_prereq_04	/Styles.Icon.command.lunge	polearm
combat_polearm_ability_01	/Styles.Icon.command.warcry	polearm
combat_polearm_ability_02	/Styles.Icon.command.blindRecovery	polearm
combat_polearm_ability_03	/Styles.Icon.command.intimidate	polearm
combat_polearm_ability_04	/Styles.Icon.command.warcry	polearm
combat_polearm_accuracy_01	/Styles.Icon.command.sweepAttack	polearm
combat_polearm_accuracy_02	/Styles.Icon.command.dizzyRecovery	polearm
combat_polearm_accuracy_03	/Styles.Icon.command.sweepAttack	polearm
combat_polearm_accuracy_04	/Styles.Icon.command.aim	polearm
combat_polearm_master	/Styles.Icon.command.impale	polearm
combat_polearm_novice	/Styles.Icon.command.legHit	polearm
combat_polearm_speed_01	/Styles.Icon.command.spinAttack	polearm
combat_polearm_speed_02	/Styles.Icon.command.impale	polearm
combat_polearm_speed_03	/Styles.Icon.command.spinAttack	polearm
combat_polearm_speed_04	/Styles.Icon.command.legHit	polearm
combat_polearm_support_01	/Styles.Icon.command.stunningBlow	polearm
combat_polearm_support_02	/Styles.Icon.command.aim	polearm
combat_polearm_support_03	/Styles.Icon.command.stunningBlow	polearm
combat_polearm_support_04	/Styles.Icon.command.stunRecovery	polearm
combat_rifleman_prereq_novice	/Styles.Icon.command.placedShot	rifle
combat_rifleman_prereq_master	/Styles.Icon.command.aim	rifle
combat_rifleman_prereq_01	/Styles.Icon.command.firearmStrike	rifle
combat_rifleman_prereq_02	/Styles.Icon.command.aimedShot	rifle
combat_rifleman_prereq_03	/Styles.Icon.command.kipUpShot	rifle
combat_rifleman_prereq_04	/Styles.Icon.command.overchargeShot	rifle
combat_rifleman_ability_01	/Styles.Icon.command.startleShot	rifle
combat_rifleman_ability_02	/Styles.Icon.command.dizzyRecovery	rifle
combat_rifleman_ability_03	/Styles.Icon.command.startleShot	rifle
combat_rifleman_ability_04	/Styles.Icon.command.kneecapShot	rifle
combat_rifleman_accuracy_01	/Styles.Icon.command.sniperShot	rifle
combat_rifleman_accuracy_02	/Styles.Icon.command.headShot	rifle
combat_rifleman_accuracy_03	/Styles.Icon.command.headShot	rifle
combat_rifleman_accuracy_04	/Styles.Icon.command.sniperShot	rifle
combat_rifleman_master	/Styles.Icon.command.startleShot	rifle
combat_rifleman_novice	/Styles.Icon.command.headShot	rifle
combat_rifleman_speed_01	/Styles.Icon.command.cover	rifle
combat_rifleman_speed_02	/Styles.Icon.command.concealShot	rifle
combat_rifleman_speed_03	/Styles.Icon.command.cover	rifle
combat_rifleman_speed_04	/Styles.Icon.command.concealShot	rifle
combat_rifleman_support_01	/Styles.Icon.command.aim	rifle
combat_rifleman_support_02	/Styles.Icon.command.blindRecovery	rifle
combat_rifleman_support_03	/Styles.Icon.command.aim	rifle
combat_rifleman_support_04	/Styles.Icon.command.stunRecovery	rifle
