spawns	name	room	loc_x	loc_y	loc_z	yaw	script	mood	animation_mood	respawn_time	spawn_objvar	special_room	special_room_script	room_objvar	room_objvar_name	room_objvar_value	planet_level
nightsister_sentinal		r8	146.6	-66.7	-127.5	-40	theme_park.dungeon.generic_death			900							1
nightsister_sentinal		r8	153.6	-66.4	-121.1	-90	theme_park.dungeon.generic_death			900							1
nightsister_sentinal		r8	113.1245804	-67.19315338	-87.45626831	130	theme_park.dungeon.generic_death	npc_meditate		900							1
nightsister_sentinal		r8	120.01	-67.1	-87.01	119	theme_park.dungeon.generic_death			900							1
nightsister_sentinal		r8	113.3	-66.9	-95.01	-179	theme_park.dungeon.generic_death			900							1
nightsister_slave		r2	59.84246445	-68.56214142	-42.8	39	theme_park.dungeon.generic_death	npc_sad		900							1
nightsister_slave		r2	53.1	-67.9	-47.4	23	theme_park.dungeon.generic_death	npc_sad		900							1
nightsister_slave		r2	51.6	-67.6	-34.2	125	theme_park.dungeon.generic_death	npc_sad		900							1
nightsister_slave		r2	57.8	-67.8	-34.1	-55	theme_park.dungeon.generic_death	npc_sad		900							1
nightsister_slave		r2	55.8	-68.2	-45.3	119	theme_park.dungeon.generic_death	npc_sad		900							1
nightsister_ranger		r5	92.19612885	-46.09319687	-98.88774872	-179	theme_park.dungeon.generic_death	npc_meditate		900							1
nightsister_ranger		r5	96.7	-45.5	-98.1	-179	theme_park.dungeon.generic_death	npc_meditate		900							1
nightsister_ranger		r5	80.93141174	-46.74330139	-117.3329086	-90	theme_park.dungeon.generic_death			900							1
nightsister_ranger		r5	84.9	-46.4	-117.2	0	theme_park.dungeon.generic_death			900							1
nightsister_ranger		r5	92.62593079	-46.740242	-111.3593826	-90	theme_park.dungeon.generic_death			1200							1
nightsister_elder		r11	73.80840302	-46.28035736	-142.7977753	90	theme_park.dungeon.generic_death	npc_meditate		2400							1
nightsister_spell_weaver		r11	80.28620911	-46.31951904	-145.2031708	90	theme_park.dungeon.generic_death			1200							1
nightsister_spell_weaver		r11	80.93726349	-46.30091858	-138.8169861	90	theme_park.dungeon.generic_death			1200							1
nightsister_stalker		r9	181.5167542	-66.12428284	-97.17331696	-90	theme_park.dungeon.generic_death			1200							1
nightsister_stalker		r9	181.8	-65.6	-93.8	-90	theme_park.dungeon.generic_death	happy		1200							1
nightsister_stalker		r9	181.3	-65.9	-100.4	-90	theme_park.dungeon.generic_death	nervous		1200							1
nightsister_protector		r9	187.5261688	-66.02024841	-103.0330353	-90	theme_park.dungeon.generic_death	npc_meditate		4800							1
nightsister_ranger		r2	45.48290253	-47.13203812	-8.648332596	-179	theme_park.dungeon.generic_death	npc_meditate		1400							1
nightsister_sentry		world	2478.880127	127.3211212	-1712.268677		theme_park.dungeon.generic_death			600	int:ai.defaultCalmBehavior=2						1
nightsister_sentry		world	2476.880127	127.3211212	-1713.268677		theme_park.dungeon.generic_death			600	int:ai.defaultCalmBehavior=2						1
nightsister_sentry		world	2480.880127	127.3211212	-1711.268677		theme_park.dungeon.generic_death			600	int:ai.defaultCalmBehavior=2						1
nightsister_sentry		world	2483.638428	129.3813629	-1634.481079		theme_park.dungeon.generic_death			600	int:ai.defaultCalmBehavior=2						1
nightsister_sentry		world	2481.638428	129.3813629	-1636.481079		theme_park.dungeon.generic_death			600	int:ai.defaultCalmBehavior=2						1
nightsister_sentry		world	2485.638428	129.3813629	-1635.481079		theme_park.dungeon.generic_death			600	int:ai.defaultCalmBehavior=2						1
nightsister_sentry		world	2509.781982	120.3906174	-1549.825684		theme_park.dungeon.generic_death			600	int:ai.defaultCalmBehavior=2						1
nightsister_sentry		world	2511.781982	120.3906174	-1550.825684		theme_park.dungeon.generic_death			600	int:ai.defaultCalmBehavior=2						1
nightsister_sentry		world	2507.781982	120.3906174	-1547.825684		theme_park.dungeon.generic_death			600	int:ai.defaultCalmBehavior=2						1
nightsister_sentry		world	2597.211914	124.1552429	-1582.911987		theme_park.dungeon.generic_death			600	int:ai.defaultCalmBehavior=2						1
nightsister_sentry		world	2599.211914	124.1552429	-1580.911987		theme_park.dungeon.generic_death			600	int:ai.defaultCalmBehavior=2						1
nightsister_sentry		world	2595.211914	124.1552429	-1584.911987		theme_park.dungeon.generic_death			600	int:ai.defaultCalmBehavior=2						1
nightsister_sentry		world	2539.409424	130.2996368	-1798.559448		theme_park.dungeon.generic_death			600	int:ai.defaultCalmBehavior=2						1
nightsister_sentry		world	2541.409424	130.2996368	-1800.559448		theme_park.dungeon.generic_death			600	int:ai.defaultCalmBehavior=2						1
nightsister_sentry		world	2537.409424	130.2996368	-1795.559448		theme_park.dungeon.generic_death			600	int:ai.defaultCalmBehavior=2						1
nightsister_initiate		world	2536.067627	123.9122849	-1668.80957	30	theme_park.dungeon.generic_death			600	int:ai.defaultCalmBehavior=1						1
nightsister_initiate		world	2538.067627	123.9122849	-1670.80957	30	theme_park.dungeon.generic_death			600	int:ai.defaultCalmBehavior=1						1
nightsister_initiate		world	2554.995117	124.0104675	-1679.277954	-40	theme_park.dungeon.generic_death			600	int:ai.defaultCalmBehavior=1						1
nightsister_initiate		world	2556.995117	124.0104675	-1678.277954	-40	theme_park.dungeon.generic_death			600	int:ai.defaultCalmBehavior=1						1
nightsister_ranger		world	2545.209717	123.4051361	-1678.761597	20	theme_park.dungeon.generic_death			900	int:ai.defaultCalmBehavior=1						1
nightsister_ranger		world	2547.671875	112.190712	-1618.086792	-5	theme_park.dungeon.generic_death	npc_angry		600	int:ai.defaultCalmBehavior=1						1
nightsister_sentry		world	2544.734131	112.3768158	-1621.262695	-5	theme_park.dungeon.generic_death	npc_angry		640	int:ai.defaultCalmBehavior=1						1
escaped_nightsister_slave		world	2546.481934	106.7276611	-1599.22876	-5	theme_park.dungeon.generic_death	nervous		1800	int:ai.defaultCalmBehavior=1						1
escaped_nightsister_slave		world	2542.4	108.2	-1600.9	-5	theme_park.dungeon.generic_death	happy		1800	int:ai.defaultCalmBehavior=1						1
