Command	Level
server.getCommoditiesItemAttributeDataValues	50
server.getCommoditiesItemTypeMap	50
server.getNameList	50
server.getNumberOfMoveObjectLists	50
server.getPlanetaryTimeFromAllGameServers	50
server.getPlanetId	50
server.getRegionsAt	50
server.getSceneId	50
server.getSystemClockTimeFromAllGameServers	50
server.hasGcwFactionalPresence	50
server.hasGcwRegionDefenderBonus	50
server.isFreeCtsSourceCluster	50
server.kill	50
server.listCharacterCreateTimeAfterBrief	50
server.listCharacterCreateTimeAfterDetailed	50
server.listCharacterCreateTimeBeforeBrief	50
server.listCharacterCreateTimeBeforeDetailed	50
server.listCharacterCreateTimeBetweenBrief	50
server.listCharacterCreateTimeBetweenDetailed	50
server.listCharacterCreateTimeBrief	50
server.listCharacterCreateTimeDetailed	50
server.listCharacterLastLoginTimeAfterBrief	50
server.listCharacterLastLoginTimeAfterDetailed	50
server.listCharacterLastLoginTimeBeforeBrief	50
server.listCharacterLastLoginTimeBeforeDetailed	50
server.listCharacterLastLoginTimeBetweenBrief	50
server.listCharacterLastLoginTimeBetweenDetailed	50
server.listCharacterLastLoginTimeBrief	50
server.listCharacterLastLoginTimeDetailed	50
server.listConnectedCharacterData	50
server.listConnectedCharacters	50
server.listRegions	50
server.listRetroactiveCtsHistory	50
server.listTravelPoints	50
server.memUsage	50
server.messageCount	50
server.profiler	50
server.purgeTerrain	50
server.releaseAuth	50
server.reloadAdminTable	50
server.reloadCommandTable	50
server.reloadForms	50
server.reloadQuests	50
server.reloadTable	50
server.reloadTerrain	50
server.requestSameServer	50
server.restartPlanet	50
server.restartServer	50
server.saveBuildoutArea	50
server.sendMailToCharacterCreateTime	50
server.sendMailToCharacterCreateTimeAfter	50
server.sendMailToCharacterCreateTimeBefore	50
server.sendMailToCharacterCreateTimeBetween	50
server.sendMailToCharacterLastLoginTime	50
server.sendMailToCharacterLastLoginTimeAfter	50
server.sendMailToCharacterLastLoginTimeBefore	50
server.sendMailToCharacterLastLoginTimeBetween	50
server.serverinfo	50
server.setAiCombatPulseQueueMaxWaitTimeMs	50
server.setAiCombatPulseQueueNumber	50
server.setCompletedTutorial	50
server.setDebugFlag	50
server.setExtraDelayPerFrameMs	50
server.setFrameRateLimit	50
server.setGodMode	5
server.setMessageToBacklogThreshold	50
server.setMessageToTimeLimit	50
server.setNumberOfMoveObjectLists	50
server.setPublic	50
server.setQuestDebugging	50
server.setUniverseProcess	50
server.showGcwFactionalPresence	50
server.showGcwScore	50
server.showObjectSpheres	50
server.showTriggerSpheres	50
server.shutdown	50
server.snapAllObjectsToTerrain	50
server.startSave	50
server.testStructurePlacement	50
server.transferCharacter	50
server.validateWorld	50
ship.getComponentDescriptor	50
ship.getSlotList	50
ship.idotList	50
ship.idotRemove	50
ship.idotSet	50
ship.install	50
ship.pseudoDamageShip	50
ship.pseudoInstall	50
ship.purge	50
ship.uninstall	50
skill.getCommandList	50
skill.getLevel	50
skill.getSchematics	50
skill.getSkillList	50
skill.getSkillMods	50
skill.grantCommand	50
skill.grantExperience	50
skill.grantSchematic	50
skill.grantSchematicGroup	50
skill.grantSkill	50
skill.grantSkillMod	50
skill.revokeSchematic	50
skill.revokeSchematicGroup	50
skill.revokeSkill	50
skill.revokeSkillMod	50
spaceai.clientdebug	50
spaceai.clientdebugtext	50
spaceai.fastaxis	50
spaceai.maneuver	50
spaceai.path	50
spaceai.peace	50
spaceai.reloaddata	50
spaceai.serverdebug	50
spaceai.war	50
spawner.showcreatures	50
spawner.showqueue	50
veteran.claimReward	50
veteran.getRewardInfo	50
veteran.launchBrowser	50
veteran.setOverrideAccountAge	50
