component	engine	weapon_0	weapon_1	weapon_2
wpn_gyrhil_auto_blaster		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_gyrhil_r9x		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_haor_chall_speedblaster		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_heavy_blaster		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_heavy_blaster_green		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_heavy_disruptor		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_heavy_ioncannon		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_hk_modified_scorcher_elite		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_hk_scorcher		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_hk_scorcher_2		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_hk_scorcher_3		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_hk_scorcher_advanced		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_hk_scorcher_elite		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_hk_scorcher_heavy		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_hoersch_railgun		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_incom_advanced_blaster		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_incom_blaster		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_incom_disruptor		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_incom_elite_quad_blaster		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_incom_heavy_blaster		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_incom_heavy_quad_blaster		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_incom_light_blaster		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_incom_quad_blaster		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_incom_shredder		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_incom_tt13		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_incom_tt8		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_kdy_pounder_mk1		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_koensayr_deluxe_ion_accelerator		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_koensayr_ion_accelerator		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_koensayr_ion_accelerator_2		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_koensayr_ion_accelerator_3		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_koensayr_ion_accelerator_advanced		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_koensayr_light_disruptor		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_koensayr_tuned_light_disruptor		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_kse_double_blaster		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_kse_light_disruptor		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_light_blaster		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_light_blaster_green		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_light_disruptor		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_light_ioncannon		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_mandal_advanced_annihilator		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_mandal_annihilator_mk2		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_mandal_annilhator_mk1		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_mandal_elite_annihilator		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_mandal_enhanced_mangler_mk1		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_mandal_heavy_annihilator		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_mandal_mangler_mk1		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_mandal_qv3_disruptor		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_mandal_qv5_disruptor		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_mandal_super_mangler		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_medium_blaster		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_medium_blaster_green		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_medium_disruptor		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_medium_ioncannon		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_mining_laser_mk1		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_mining_laser_mk2		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_mining_laser_mk3		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_mission_reward_imperial_cygnus_starblaster		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_mission_reward_imperial_sds_boltdriver		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_mission_reward_neutral_borstel_disruptor		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_mission_reward_neutral_hk_military_blaster		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_mission_reward_neutral_mandal_light_blaster		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_mission_reward_rebel_incom_tricannon		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_mission_reward_rebel_taim_ion_driver		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_moncal_light_blaster		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_prototype_tie		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_rendili_advanced		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_rendili_fr13_disruptor		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_rendili_fr9_disruptor		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_rendili_sc3_disruptor		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_rendili_sc8_disruptor		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_rss_imperial_cannon		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_sds_elite		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_sds_heavy_imperial_spc_forces_cannon		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_sds_imperial_blaster_1		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_sds_imperial_blaster_2		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_sds_imperial_special_forces_cannon		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_sds_modified_elite		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_seinar_disruptor		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_seinar_ion_cannon		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_seinar_linked_cannon		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_seinar_ls1		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_seinar_ls72		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_sfs_elite		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_sfs_imperial_blaster_1		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_sfs_imperial_blaster_2		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_sfs_imperial_blaster_3		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_sfs_imperial_blaster_4		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_sfs_imperial_special_forces_blaster		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_sfs_improved_imperial_blaster_2		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_slayn_deluxe_light_ioncannon		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_slayn_ioncannon		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_slayn_light_ioncannon		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_subpro_advanced_cannon		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_subpro_improved_light_ioncannon		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_subpro_light_ioncannon		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_subpro_modified_tricannon		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_subpro_tricannon		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_subpro_tripleblaster		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_subpro_tripleblaster_mark2		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_subpro_tripleblaster_mark3		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_taim_elite		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_taim_heavy_laser		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_taim_ix4		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_taim_ix5		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_taim_kx5		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_taim_kx8		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_taim_kx9		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_tieadvanced_blaster		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_tractor_beam_gun		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_tractor_pulse_gun		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_trandoshan_fg1a		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_vengeance_ion_cannon		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_vulcan_cannon		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_z95_blaster		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_heavy_ionic_pulse_weapon		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_crafted_mining_laser_mk1		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_crafted_mining_laser_mk2		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_crafted_mining_laser_mk3		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_crafted_mining_laser_elite		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_prototype		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_ionic_pulse_weapon		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_reward_seinar_elite		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_kessel_imperial_rendili_prototype_x		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_kessel_imperial_sds_experimental_secret_ops		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_kessel_imperial_sfs_elite_ops		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_kessel_rebel_incom_dualcore_flashcannon		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_kessel_rebel_riiz_combine_slammer_cannon		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_kessel_rebel_unknown_rayslinger		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_reward_incom_elite		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_reward_seinar_elite		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
wpn_reward_slayn_elite		havoc_weapon_s01:weapon1	havoc_turret_s02:turretyaw1	havoc_weapon_s02:weapon2
