component	engine	weapon_0	weapon_1	weapon_2
eng_kse_improved_a2x	tie_engine_s01:			
eng_kuat_a9x	tie_engine_s01:			
eng_kuat_f31	tie_engine_s01:			
eng_kuat_tc40	tie_engine_s01:			
eng_mandal_advanced	tie_engine_s01:			
eng_mandal_elite	tie_engine_s01:			
eng_mandal_enhanced_heavy	tie_engine_s01:			
eng_mandal_firestorm	tie_engine_s01:			
eng_mandal_firestorm_2	tie_engine_s01:			
eng_mandal_heavy	tie_engine_s01:			
eng_mandal_x37_vandal	tie_engine_s01:			
eng_mandal_x57_vandal	tie_engine_s01:			
eng_mission_reward_imperial_cygnus_megadrive	tie_engine_s01:			
eng_mission_reward_neutral_haor_chall_military	tie_engine_s01:			
eng_mission_reward_neutral_mandal_inferno	tie_engine_s01:			
eng_mission_reward_rebel_incom_military	tie_engine_s01:			
eng_mk1	tie_engine_s01:			
eng_mk2	tie_engine_s01:			
eng_mk3	tie_engine_s01:			
eng_mk4	tie_engine_s01:			
eng_mk5	tie_engine_s01:			
eng_moncal_charged_standard	tie_engine_s01:			
eng_moncal_enhanced_light	tie_engine_s01:			
eng_moncal_heavy	tie_engine_s01:			
eng_moncal_ifs32	tie_engine_s01:			
eng_moncal_ifs64	tie_engine_s01:			
eng_moncal_improved_heavy	tie_engine_s01:			
eng_moncal_light	tie_engine_s01:			
eng_moncal_standard	tie_engine_s01:			
eng_novaldex_advanced	tie_engine_s01:			
eng_novaldex_eventhorizon	tie_engine_s01:			
eng_novaldex_light_eventhorizon	tie_engine_s01:			
eng_novaldex_singularity	tie_engine_s01:			
eng_novaldex_x12	tie_engine_s01:			
eng_novaldex_x6	tie_engine_s01:			
eng_novaldex_x7	tie_engine_s01:			
eng_novaldex_x9	tie_engine_s01:			
eng_nubian_221	tie_engine_s01:			
eng_nubian_221_racing_mod	tie_engine_s01:			
eng_prototype	tie_engine_s01:			
eng_qualdex_a10	tie_engine_s01:			
eng_qualdex_a13	tie_engine_s01:			
eng_qualdex_advanced	tie_engine_s01:			
eng_qualdex_b10	tie_engine_s01:			
eng_qualdex_elite	tie_engine_s01:			
eng_qualdex_igt	tie_engine_s01:			
eng_qualdex_kyromaster	tie_engine_s01:			
eng_qualdex_small_kyromaster	tie_engine_s01:			
eng_quantum_ion_drive	tie_engine_s01:			
eng_rendili_demon_mk1	tie_engine_s01:			
eng_rendili_elite	tie_engine_s01:			
eng_rss_advanced	tie_engine_s01:			
eng_rss_elite	tie_engine_s01:			
eng_rss_imperial_skyrunner	tie_engine_s01:			
eng_rss_imperial_skyrunner_2	tie_engine_s01:			
eng_rss_imperial_skyrunner_3	tie_engine_s01:			
eng_rss_imperial_skyrunner_4	tie_engine_s01:			
eng_sds_imperial_1	tie_engine_s01:			
eng_sds_imperial_2	tie_engine_s01:			
eng_sds_limited_imperial_1	tie_engine_s01:			
eng_seinar_ps56	tie_engine_s01:			
eng_sfs_advanced	tie_engine_s01:			
eng_sfs_elite	tie_engine_s01:			
eng_sfs_imperial_1	tie_engine_s01:			
eng_sfs_imperial_2	tie_engine_s01:			
eng_sfs_imperial_3	tie_engine_s01:			
eng_sfs_imperial_4	tie_engine_s01:			
eng_sfs_imperial_5	tie_engine_s01:			
eng_sfs_modified_imperial_3	tie_engine_s01:			
eng_sfs_performance_imperial_1	tie_engine_s01:			
eng_sfs_tuned_imperial_2	tie_engine_s01:			
eng_sorosuub_l_337_ion_engine	tie_engine_s01:			
eng_sorosuub_tuned_l_337_ion_engine	tie_engine_s01:			
eng_sorosuub_u83r_ion_drive	tie_engine_s01:			
eng_subpro_light_engines	tie_engine_s01:			
eng_surronian_a2	tie_engine_s01:			
eng_surronian_a25	tie_engine_s01:			
eng_ubrikkian_n2	tie_engine_s01:			
eng_reward_kuat_elite	tie_engine_s01:			
eng_nova_01	tie_engine_s01:			
eng_orion_01	tie_engine_s01:			
collection_reward_engine_01_mk1	tie_engine_s01:			
collection_reward_engine_01_mk2	tie_engine_s01:			
collection_reward_engine_01_mk3	tie_engine_s01:			
collection_reward_engine_01_mk4	tie_engine_s01:			
collection_reward_engine_01_mk5	tie_engine_s01:			
eng_t86_shooting_star	tie_engine_s01:			
eng_kuat_m24	tie_engine_s01:			
eng_kuat_experimental	tie_engine_s01:			
eng_reward_experimental	tie_engine_s01:			
eng_heron_qa	tie_engine_s01:			
wpn_advanced_blaster		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_advanced_blaster_green		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_advanced_disruptor		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_advanced_ioncannon		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_armek_advanced		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_armek_elite		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_armek_sw4		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_armek_sw6		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_armek_sw7		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_armek_sw8		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_awing_blaster		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_borstel_rg9		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_bwing_blaster		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_corellian_1d		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_corellian_ag1g_laser		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_corellian_ag2g_quad_laser		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_corellian_cruiser_grade_blaster_mk1		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_corellian_heavy_gauss		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_crafted_incom_disruptor		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_crafted_slayn_ioncannon		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_crafted_subpro_tripleblaster		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_crafted_tractor_beam		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_cygnus_destroyer_mk1		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_cygnus_destroyer_mk2		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_cygnus_elite		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_cygnus_eradicator_1		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_experimental_blaster		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_experimental_blaster_green		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_experimental_disruptor		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_experimental_ioncannon		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_fastspray_2000_disruptor		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_freitek_cannoneer_mk1		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_gyrhil_auto_blaster		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_gyrhil_r9x		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_haor_chall_speedblaster		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_heavy_blaster		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_heavy_blaster_green		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_heavy_disruptor		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_heavy_ioncannon		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_hk_modified_scorcher_elite		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_hk_scorcher		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_hk_scorcher_2		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_hk_scorcher_3		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_hk_scorcher_advanced		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_hk_scorcher_elite		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_hk_scorcher_heavy		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_hoersch_railgun		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_incom_advanced_blaster		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_incom_blaster		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_incom_disruptor		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_incom_elite_quad_blaster		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_incom_heavy_blaster		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_incom_heavy_quad_blaster		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_incom_light_blaster		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_incom_quad_blaster		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_incom_shredder		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_incom_tt13		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_incom_tt8		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_kdy_pounder_mk1		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_koensayr_deluxe_ion_accelerator		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_koensayr_ion_accelerator		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_koensayr_ion_accelerator_2		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_koensayr_ion_accelerator_3		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_koensayr_ion_accelerator_advanced		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_koensayr_light_disruptor		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_koensayr_tuned_light_disruptor		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_kse_double_blaster		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_kse_light_disruptor		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_laser_beam_gun		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_light_blaster		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_light_blaster_green		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_light_disruptor		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_light_ioncannon		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_mandal_advanced_annihilator		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_mandal_annihilator_mk2		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_mandal_annilhator_mk1		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_mandal_elite_annihilator		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_mandal_enhanced_mangler_mk1		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_mandal_heavy_annihilator		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_mandal_mangler_mk1		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_mandal_qv3_disruptor		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_mandal_qv5_disruptor		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_mandal_super_mangler		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_medium_blaster		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_medium_blaster_green		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_medium_disruptor		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_medium_ioncannon		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_mining_laser_mk1		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_mining_laser_mk2		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_mining_laser_mk3		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_mission_reward_imperial_cygnus_starblaster		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_mission_reward_imperial_sds_boltdriver		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_mission_reward_neutral_borstel_disruptor		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_mission_reward_neutral_hk_military_blaster		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_mission_reward_neutral_mandal_light_blaster		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_mission_reward_rebel_incom_tricannon		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_mission_reward_rebel_taim_ion_driver		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_moncal_light_blaster		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_prototype		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_prototype_tie		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_rendili_advanced		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_rendili_fr13_disruptor		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_rendili_fr9_disruptor		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_rendili_sc3_disruptor		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_rendili_sc8_disruptor		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_rss_imperial_cannon		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_sds_elite		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_sds_heavy_imperial_spc_forces_cannon		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_sds_imperial_blaster_1		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_sds_imperial_blaster_2		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_sds_imperial_special_forces_cannon		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_sds_modified_elite		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_seinar_disruptor		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_seinar_ion_cannon		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_seinar_linked_cannon		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_seinar_ls1		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_seinar_ls72		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_sfs_elite		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_sfs_imperial_blaster_1		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_sfs_imperial_blaster_2		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_sfs_imperial_blaster_3		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_sfs_imperial_blaster_4		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_sfs_imperial_special_forces_blaster		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_sfs_improved_imperial_blaster_2		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_slayn_deluxe_light_ioncannon		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_slayn_ioncannon		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_slayn_light_ioncannon		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_subpro_advanced_cannon		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_subpro_improved_light_ioncannon		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_subpro_light_ioncannon		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_subpro_modified_tricannon		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_subpro_tricannon		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_subpro_tripleblaster		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_subpro_tripleblaster_mark2		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_subpro_tripleblaster_mark3		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_taim_elite		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_taim_heavy_laser		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_taim_ix4		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_taim_ix5		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_taim_kx5		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_taim_kx8		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_taim_kx9		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_tieadvanced_blaster		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_tractor_beam_gun		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_tractor_pulse_gun		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_trandoshan_fg1a		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_vengeance_ion_cannon		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_vulcan_cannon		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_z95_blaster		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_heavy_ionic_pulse_weapon		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_crafted_mining_laser_mk1		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_crafted_mining_laser_mk2		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_crafted_mining_laser_mk3		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_crafted_mining_laser_elite		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_ionic_pulse_weapon		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_reward_seinar_elite		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_kessel_imperial_rendili_prototype_x		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_kessel_imperial_sds_experimental_secret_ops		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_kessel_imperial_sfs_elite_ops		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_kessel_rebel_incom_dualcore_flashcannon		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_kessel_rebel_riiz_combine_slammer_cannon		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_kessel_rebel_unknown_rayslinger		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_reward_incom_elite		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_reward_seinar_elite		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_reward_slayn_elite		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_reward_subpro_elite		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_reward_taim_elite		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_nova_ioncannon		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_orion_disruptor		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_borstel_experimental		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
wpn_heron_qa		defender_weapon_s01:weapon1	defender_weapon_s02:weapon2	defender_weapon_s03:weapon3
