strQuality	strItemName	commandSpeedModifier	hitpointsModifier	armorHitpointsModifier	energyMaintenanceModifier	massModifier	enabled	comments
all	object/tangible/ship/components/droid_interface/ddi_sfs_imperial_2.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_sorosuub_enhanced_rad_mk1.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_sorosuub_rad_mk2.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_subpro_improved_jrd33.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_cygnus_di8.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_freitek_droid_commander_mk2.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_hk_mk2.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_hk_mk3.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_incom_droid_interface_mk3.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_incom_droid_interface_mk4.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_kse_enhanced_manager_mk3.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_kse_manager_mk3.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_mission_reward_imperial_sfs_military_grade.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_moncal_custom_dk2.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_moncal_dk3.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_novaldex_droid_interface_mk4.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_qualdex_droid_interface_mk3.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_qualdex_modified_droid_interface_mk3.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_rendili_imperator_2.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_sds_enhanced_imperial_2.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_sds_imperial_3.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_seinar_interface_mk3.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_sfs_imperial_3.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_sorosuub_modified_rad_mk2.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_sorosuub_rad_mk3.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_freitek_droid_commander_mk3.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_hk_advanced.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_hk_mk4.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_incom_advanced_droid_interface.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_incom_enhanced_droid_interface_mk4.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_kessel_imperial_cygnus_dp44.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_kessel_imperial_sfs_imperial_finest.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_kessel_rebel_incom_dx61.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_kessel_rebel_qualdex_integrated_array.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_kse_advanced_manager.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_kse_elite_manager_1.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_mission_reward_rebel_novaldex_low_latency.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_moncal_advanced_interface.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_moncal_dk4.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_novaldex_advanced_droid_interface.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_novaldex_custom_droid_interface_mk4.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_qualdex_droid_interface_mk4.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_qualdex_enhanced_droid_interface_mk5.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_rendili_elite_imperator.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_sds_imperial_4.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_sds_imperial_5.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_seinar_interface_mk4.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_sfs_imperial_mk5.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_sorosuub_echelon_1.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_sorosuub_echelon_2.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_freitek_elite.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_hk_elite.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_incom_elite.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_kessel_imperial_sds_unknown_prototype.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_kessel_rebel_incom_supreme_interface.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_kse_elite_manager_2.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_moncal_elite.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_novaldex_elite.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_qualdex_elite.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_sds_elite.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_sfs_elite.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_sorosuub_elite.iff	0.2	0.2	0.2	0.2	0.2		
